detailUrl,unformattedPrice,beds,baths,area,zestimate,brokerName,latitude,longitude,date
https://www.zillow.com/homedetails/8869-E-Georgetown-Rd-Columbus-IN-47201/102846740_zpid/,445204,3.0,3.0,3372.0,434200.0,RE/MAX Real Estate Prof,39.21859,-86.08411,2021-12-13
https://www.zillow.com/homedetails/4364-Westminster-Pl-Columbus-IN-47201/124604856_zpid/,323000,3.0,2.0,1712.0,329900.0,NextHome Connection,39.2396,-85.94815,2021-12-13
https://www.zillow.com/homedetails/2709-Daisy-Ct-Columbus-IN-47201/2082611226_zpid/,450000,4.0,3.0,3994.0,,RE/MAX Real Estate Prof,39.175232,-85.951485,2021-12-10
https://www.zillow.com/homedetails/12120-S-Jonesville-Rd-Columbus-IN-47201/85092029_zpid/,59000,0.0,,,,PNA Realty,39.094666,-85.88194,2021-12-10
https://www.zillow.com/homedetails/1137-Pennsylvania-St-Columbus-IN-47201/85100109_zpid/,159900,3.0,2.0,1506.0,160600.0,RE/MAX Real Estate Prof,39.210327,-85.90241,2021-12-10
https://www.zillow.com/homedetails/2231-Mapleton-Ct-Columbus-IN-47201/102839083_zpid/,89900,3.0,1.0,988.0,90300.0,"Hoosier Brokers, Inc",39.196526,-85.8995,2021-12-10
https://www.zillow.com/homedetails/2861-Bluebell-Ct-W-Columbus-IN-47201/102836486_zpid/,421500,4.0,3.0,3055.0,423400.0,RE/MAX Real Estate Prof,39.17287,-85.95464,2021-12-10
https://www.zillow.com/homedetails/402-Tipton-Ln-Columbus-IN-47201/85095023_zpid/,441500,3.0,3.0,3861.0,443900.0,RE/MAX Real Estate Prof,39.23007,-85.91961,2021-12-10
https://www.zillow.com/homedetails/5615-E-Fountain-Way-Columbus-IN-47201/85090949_zpid/,225000,3.0,2.0,1260.0,226200.0,Berkshire Hathaway Home,39.13456,-85.85808,2021-12-10
https://www.zillow.com/homedetails/2824-Streamside-Dr-Columbus-IN-47203/85098760_zpid/,140000,3.0,1.0,1092.0,140800.0,Dean Wagner LLC,39.226685,-85.891884,2021-12-10
https://www.zillow.com/homedetails/2154-Fairfax-Dr-Columbus-IN-47203/85102409_zpid/,282900,3.0,3.0,1821.0,284500.0,Berkshire Hathaway Home,39.23435,-85.90072,2021-12-10
https://www.zillow.com/homedetails/5203-S-Vine-St-Columbus-IN-47201/102834183_zpid/,185000,5.0,3.0,1726.0,186000.0,"HOME Real Estate Services, LLC",39.151024,-85.97352,2021-12-10
https://www.zillow.com/homedetails/8734-Winslow-Ct-Columbus-IN-47201/102846722_zpid/,729900,3.0,4.0,4544.0,732900.0,F.C. Tucker Company,39.22525,-86.087746,2021-12-10
https://www.zillow.com/homedetails/3843-Jonathan-Rdg-Columbus-IN-47201/115570030_zpid/,405000,4.0,3.0,3798.0,407200.0,RE/MAX Real Estate Prof,39.173573,-85.96521,2021-12-10
https://www.zillow.com/homedetails/3244-Red-Fox-Trl-Columbus-IN-47201/124602259_zpid/,590000,5.0,5.0,5043.0,593200.0,Berkshire Hathaway Home,39.167126,-85.9646,2021-12-10
https://www.zillow.com/homedetails/6125-Heron-Ct-Columbus-IN-47201/217822205_zpid/,369900,3.0,3.0,2638.0,371900.0,Berkshire Hathaway Home,39.187347,-85.99366,2021-12-10
https://www.zillow.com/homedetails/5584-S-550-W-Columbus-IN-47201/217813281_zpid/,529900,3.0,2.0,2800.0,532800.0,Berkshire Hathaway HomeService,39.148186,-86.01628,2021-12-10
https://www.zillow.com/homedetails/3035-Lucas-Way-Columbus-IN-47203/102837161_zpid/,160000,3.0,2.0,1285.0,160800.0,CENTURY 21 Breeden REALTORS®,39.2294,-85.89401,2021-12-08
https://www.zillow.com/homedetails/2110-Union-St-Columbus-IN-47201/85095600_zpid/,119900,2.0,1.0,1870.0,120600.0,CENTURY 21 Breeden REALTORS®,39.219555,-85.91334,2021-12-08
https://www.zillow.com/homedetails/4811-Ariane-Trl-Columbus-IN-47201/85091902_zpid/,485000,3.0,4.0,4926.0,487900.0,CENTURY 21 Breeden REALTORS®,39.155098,-85.98121,2021-12-08
https://www.zillow.com/homedetails/1922-Keller-Ave-Columbus-IN-47201/85099967_zpid/,128500,2.0,1.0,1098.0,129300.0,CENTURY 21 Breeden REALTORS®,39.218037,-85.900566,2021-12-08
https://www.zillow.com/homedetails/225-Kyte-St-Columbus-IN-47201/102833954_zpid/,105600,3.0,1.0,1200.0,106200.0,Realty One Group Dream,39.15786,-85.923996,2021-12-08
https://www.zillow.com/homedetails/4403-Kestrel-Ct-Columbus-IN-47203/85095705_zpid/,420500,4.0,3.0,3940.0,423100.0,RE/MAX Real Estate Prof,39.250008,-85.91385,2021-12-07
https://www.zillow.com/homedetails/2075-Abundance-Dr-Columbus-IN-47201/102837273_zpid/,115000,3.0,2.0,1264.0,115700.0,Dean Wagner LLC,39.21932,-85.89142,2021-12-07
